CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_PR_DESEMP_ESPERADO;TAB_X_PR_DESEMP_REAL
56.945.961/0001-23;VANTAGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
56.963.951/0001-10;AGRO DEFENDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;0.00;0.00
56.963.951/0001-10;AGRO DEFENDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;1.45;1.45
56.963.951/0001-10;AGRO DEFENDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
56.964.123/0001-05;CAVORETTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior;0.00;0.00
56.964.123/0001-05;CAVORETTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;-7.28;-7.28
56.971.420/0001-70;ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA ABERTA DE RESP LIMITADA;2024-11-30;Subclasse Senior Série 1;0.79;0.93
56.971.420/0001-70;ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA ABERTA DE RESP LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.79;-57.65
56.972.378/0001-01;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PFN MT III RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;0.01;0.01
56.972.378/0001-01;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PFN MT III RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
56.972.378/0001-01;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PFN MT III RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.01;0.01
56.972.917/0001-02;VIP FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;1.02;1.02
56.972.917/0001-02;VIP FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.68;0.68
56.972.917/0001-02;VIP FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;1.16;1.16
56.972.917/0001-02;VIP FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 1;1.31;1.31
56.977.387/0001-95;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MP PRECATÓRIOS FEDERAIS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
56.977.387/0001-95;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MP PRECATÓRIOS FEDERAIS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.79;1.34
56.986.018/0001-69;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS KANAL;2024-11-30;Subclasse Senior;0.00;0.00
56.986.018/0001-69;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS KANAL;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;-0.22
56.992.610/0001-73;VINCI CRÉDITO PORTFÓLIO CDI+ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior;0.00;0.00
56.992.610/0001-73;VINCI CRÉDITO PORTFÓLIO CDI+ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada | Subordinada;0.60;0.60
56.993.592/0001-44;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MAR AZUL - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
56.993.592/0001-44;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MAR AZUL - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada  |;0.00;0.00
57.008.828/0001-03;KUARÁ GS2 IGSC I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
57.008.828/0001-03;KUARÁ GS2 IGSC I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.79;-0.30
57.017.012/0001-46;MABC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Senior;0.00;0.00
57.017.012/0001-46;MABC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.88
57.037.064/0001-84;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NMPA - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
57.037.064/0001-84;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NMPA - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada  |;0.00;0.00
57.041.943/0001-80;CREDICAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;0.00;0.00
57.041.943/0001-80;CREDICAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;2.94;2.94
57.053.395/0001-08;AGROCANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;0.91;0.91
57.053.395/0001-08;AGROCANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
57.053.395/0001-08;AGROCANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;1.52
57.074.057/0001-52;MOVE BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO;2024-11-30;Subclasse Senior;0.00;0.00
57.074.057/0001-52;MOVE BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.46
57.075.945/0001-90;SPILIA INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior;0.00;0.00
57.075.945/0001-90;SPILIA INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.79;3.11
57.076.795/0001-39;ÉXES CARAJÁ FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO - DIREITOS CREDITÓRIOS RESP LIMITADA;2024-11-30;Subclasse Senior Série 1;0.00;0.08
57.076.795/0001-39;ÉXES CARAJÁ FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO - DIREITOS CREDITÓRIOS RESP LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;0.00
57.088.244/0001-95;CENTRO SUL CONCESSOES FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;1.08;1.08
57.088.244/0001-95;CENTRO SUL CONCESSOES FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;1.07
57.088.363/0001-48;CLASSE ÚNICA DE COTAS DO NORTE SANEAMENTO FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior;0.00;0.00
57.088.363/0001-48;CLASSE ÚNICA DE COTAS DO NORTE SANEAMENTO FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;1.28
57.088.975/0001-30;MS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Senior Série 1;1.13;1.13
57.088.975/0001-30;MS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;1.23;1.23
57.088.975/0001-30;MS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;-0.36;-0.36
57.090.601/0001-50;MACCA CONSIGNADO PUBLICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;100.00;0.98
57.090.601/0001-50;MACCA CONSIGNADO PUBLICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;1.30
57.090.601/0001-50;MACCA CONSIGNADO PUBLICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 1;100.00;0.72
57.117.669/0001-85;PAINITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Senior;0.00;0.00
57.117.669/0001-85;PAINITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;Subclasse Subordinada Subordinada 1 |;0.00;-5.16
57.131.490/0001-82;PONTO RURAL FIAGRO - DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Senior Série 1;0.21;0.21
57.131.490/0001-82;PONTO RURAL FIAGRO - DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 1 | Série 2;0.79;0.79
57.131.490/0001-82;PONTO RURAL FIAGRO - DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Mezanino 2 | Série 1;0.79;0.79
57.131.490/0001-82;PONTO RURAL FIAGRO - DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;Subclasse Subordinada Subordinada 1 |;-2.16;-2.16
57.133.534/0001-03;JIF INFRA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO;2024-11-30;Subclasse Senior;0.00;0.00
