CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_X_SCR_RISCO_DEVEDOR_AA;TAB_X_SCR_RISCO_DEVEDOR_A;TAB_X_SCR_RISCO_DEVEDOR_B;TAB_X_SCR_RISCO_DEVEDOR_C;TAB_X_SCR_RISCO_DEVEDOR_D;TAB_X_SCR_RISCO_DEVEDOR_E;TAB_X_SCR_RISCO_DEVEDOR_F;TAB_X_SCR_RISCO_DEVEDOR_G;TAB_X_SCR_RISCO_DEVEDOR_H;TAB_X_SCR_RISCO_OPER_AA;TAB_X_SCR_RISCO_OPER_A;TAB_X_SCR_RISCO_OPER_B;TAB_X_SCR_RISCO_OPER_C;TAB_X_SCR_RISCO_OPER_D;TAB_X_SCR_RISCO_OPER_E;TAB_X_SCR_RISCO_OPER_F;TAB_X_SCR_RISCO_OPER_G;TAB_X_SCR_RISCO_OPER_H;TAB_X_DEBITO_TRIBUT
24.797.980/0001-63;EUROPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.814.759/0001-76;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MAIS LOTES - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;57393922.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;57393922.78;0.00
24.852.946/0001-44;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TG REAL;2024-11-30;0.00;0.00;23265715.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23265715.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.976.450/0001-82;VALE 40 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24.987.402/0001-90;SEJA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;56302069.75;0.00;0.00;9585441.28;0.00;468419.27;241536.62;0.00;1452635.21;56302069.75;0.00;0.00;9585441.28;0.00;468419.27;241536.62;0.00;1452635.21;39690642.46
25.043.891/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE III;2024-11-30;0.00;0.00;221692460.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;221692460.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.080.500/0001-01;VALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.162.160/0001-68;LEX FINANCIAL INVESTMENTS FIC FIDC;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.166.362/0001-88;BRASIL CRÉDITO GESTÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.167.283/0001-91;KRIPTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.213.355/0001-90;VALORA GUARDIAN ADVISORY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.235.009/0001-02;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA IMOBILIÁRIO;2024-11-30;3629150.89;305781.05;357613.79;110951.81;0.00;0.00;0.00;772502.73;16212530.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.246.617/0001-12;DIP FINANCING 11 FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.248.974/0001-10;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VI - RESPONSABILIDADE LIMITADA;2024-11-30;43331541.43;0.00;6984774.63;2963393.57;1669028.89;1524829.05;1401191.41;1003493.36;137473318.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.295.530/0001-35;HIGH YIELD DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - RESPON. LIMIT;2024-11-30;28048225.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1305589.71;28048225.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1305589.71;0.00
25.306.519/0001-23;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GOAL RJ;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.307.052/0001-36;G5 CRPR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.316.863/0001-01;SPDA HABITACAO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.354.081/0001-59;ALBATROZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;16276751.73;7153398.07;5016.24;0.00;10083.32;5940.98;0.00;0.00;1199.90;16276751.73;7153398.07;5016.24;0.00;10083.32;5940.98;0.00;0.00;1199.90;0.00
25.354.121/0001-62;MONEFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25.382.606/0001-60;URA AGRO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;1162461199.27;0.00;0.00;19857530.73;6233101.66;0.00;6235000.00;16569088.00;1579946.17;1162461199.27;0.00;0.00;19857530.73;6233101.66;0.00;6235000.00;16569088.00;1579946.17;238756064.94
25.695.170/0001-69;INVESTCAMP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;5385502.13;0.00;0.00;336094.27;0.00;57736.00;36540.00;0.00;33151.06;5385502.13;0.00;0.00;336094.27;0.00;57736.00;36540.00;0.00;33151.06;4126369.87
25.970.315/0001-92;DELPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;46121018.20;0.00;0.00;1350970.70;0.00;180482.38;697050.09;0.00;26004.70;46121018.20;0.00;0.00;1350970.70;0.00;180482.38;697050.09;0.00;26004.70;35308693.68
26.000.055/0001-95;SILVER STONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;8716961.56;2838503.09;0.00;0.00;274841.31;519204.96;48644.99;137469.42;105875.90;8716961.56;2838503.09;0.00;0.00;274841.31;519204.96;48644.99;137469.42;105875.90;0.00
26.000.088/0001-35;RNX FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FIDC MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.142.862/0001-42;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;518332197.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;518332197.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.154.177/0001-36;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.199.650/0001-00;MERCANTIL DE CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTI OPEN I;2024-11-30;32000333.16;0.00;143627.83;0.00;169281.34;0.00;19302.16;0.00;8154761.43;32000333.16;0.00;143627.83;0.00;169281.34;0.00;19302.16;0.00;8154761.43;0.00
26.199.686/0001-85;RIO DOCE FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;10423176.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10423176.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;777095.51
26.199.799/0001-80;TARISUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;1918605.99;0.00;0.00;19781.67;0.00;78818.15;20000.00;0.00;1255006.93;1918605.99;0.00;0.00;19781.67;0.00;78818.15;20000.00;0.00;1255006.93;4812100.60
26.199.830/0001-83;SAINT JOHN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.207.801/0001-16;AQUIRAZ FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.208.267/0001-62;C&J FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;24083941.28;0.00;0.00;1447331.07;0.00;426010.08;1446.21;0.00;130454.56;24083941.28;0.00;0.00;1447331.07;0.00;426010.08;1446.21;0.00;130454.56;15051440.40
26.208.281/0001-66;JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;167303659.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;167303659.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.208.328/0001-91;ÁRTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;197188573.90;0.00;0.00;13085436.72;0.00;830381.15;0.00;0.00;0.00;197188573.90;0.00;0.00;13085436.72;0.00;830381.15;0.00;0.00;0.00;0.00
26.286.853/0001-25;MILAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4420533.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.286.939/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CIELO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.287.464/0001-14;TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.380.651/0001-48;SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA;2024-11-30;11052281.29;0.00;192402.16;1129600.24;0.00;473120.83;0.00;0.00;164314.93;11052281.29;0.00;192402.16;1129600.24;0.00;473120.83;0.00;0.00;164314.93;5305049.53
26.395.682/0001-72;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE IV;2024-11-30;83530991.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.405.874/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ATACADO RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;928391611.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;928391611.25;0.00
26.405.883/0001-03;FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3097996335.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3097996335.71;0.00
26.405.893/0001-49;FIDC RECEBÍVEIS RODOANEL TRECHO OESTE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;171847726.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;171847726.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.405.908/0001-79;ZONDA - VX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP;2024-11-30;10223764.04;514063.29;54236202.47;41637.88;0.00;0.00;0.00;0.00;0.00;10223764.04;514063.29;54236202.47;41637.88;0.00;0.00;0.00;0.00;0.00;0.00
26.452.257/0001-78;AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;35468868.70;2336351.70;0.00;2570312.80;0.00;0.00;0.00;292445.50;0.00;35468868.70;2336351.70;0.00;2570312.80;0.00;0.00;0.00;292445.50;0.00
26.459.204/0001-89;JAPUÍRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;671116760.53;261567693.25;81065406.22;34237421.00;0.00;0.00;0.00;9223679.54;0.00;671116760.53;261567693.25;81065406.22;34237421.00;0.00;0.00;0.00;9223679.54;0.00
26.459.235/0001-30;LATACHE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.471.075/0001-44;JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP;2024-11-30;338118079.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;338118079.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.489.103/0001-50;INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;95723631.10;7709047.60;29639105.90;38723847.50;23155069.30;1689774.70;4953562.90;0.00;7566804.30;95723631.10;7709047.60;29639105.90;38723847.50;23155069.30;1689774.70;4953562.90;0.00;7566804.30;0.00
26.506.898/0001-68;TREVISO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;193650247.63;0.00;0.00;10022280.14;0.00;841660.39;0.00;16819214.08;21492984.76;193650247.63;0.00;0.00;10022280.14;0.00;841660.39;0.00;16819214.08;21492984.76;172957155.44
26.545.341/0001-36;URBE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.545.364/0001-40;MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;18026398.86;0.00;0.00;5226283.26;0.00;0.00;0.00;0.00;65156.00;18026398.86;0.00;0.00;5226283.26;0.00;0.00;0.00;0.00;65156.00;23317838.12
26.545.451/0001-06;FORNECEDORES BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;139535991.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;139535991.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31828098.96
26.558.776/0001-15;WNT AÇÕES JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO;2024-11-30;11542095.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11542095.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.558.785/0001-06;UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;356022040.46;4809625.15;0.00;11008350.45;14437190.26;61580787.42;3826868.32;0.00;31550891.27;356022040.46;4809625.15;0.00;11008350.45;14437190.26;61580787.42;3826868.32;0.00;31550891.27;166707820.84
26.560.778/0001-49;SCF BRAZIL II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;33991.91;1643513.20;0.00;0.00;7296.92;0.00;0.00;0.00;2103194.57;38189.95;1643513.20;98.98;0.00;7385.85;0.00;0.00;0.00;2045493.43;0.00
26.570.645/0001-53;JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;541793720.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;541793720.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.607.493/0001-16;STEP-UP VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.607.511/0001-60;STEP-UP III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.648.752/0001-57;VALECRED DISTRESSED & SPECIAL SITS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;343433473.98;0.00;0.00;0.00;0.00;12666666.66;0.00;0.00;25600000.00;343433473.98;0.00;0.00;0.00;0.00;12666666.66;0.00;0.00;25600000.00;3122000.00
26.648.770/0001-39;G5 SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;184117884.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;184117884.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.648.789/0001-85;PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;13037024.01;0.00;0.00;248190.02;0.00;913909.96;3301.88;0.00;0.00;13037024.01;0.00;0.00;248190.02;0.00;913909.96;3301.88;0.00;0.00;7961081.99
26.677.268/0001-56;GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL;2024-11-30;8067703.60;0.00;2751510.50;3851487.70;341266.90;0.00;534574.30;0.00;279262.60;8067703.60;0.00;2751510.50;3851487.70;341266.90;0.00;534574.30;0.00;279262.60;0.00
26.689.672/0001-40;AFARE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.689.692/0001-10;ALGARVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.690.344/0001-63;FATORI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.690.373/0001-25;SIMPLIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;177867823.37;38089419.65;0.00;0.00;608000058.84;0.00;0.00;0.00;0.00;177867823.37;38089419.65;0.00;0.00;608000058.84;823933865.14
26.690.689/0001-17;CONTINENTALBANCO NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - NAO PADRONIZADO;2024-11-30;229252994.91;0.00;0.00;18593531.60;0.00;1875679.05;755289.10;0.00;27289011.42;229252994.91;0.00;0.00;18593531.60;0.00;1875679.05;755289.10;0.00;27289011.42;196800389.82
26.704.185/0001-09;MTR 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;25656490.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25656490.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.709.975/0001-87;ARON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;727390456.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.710.026/0001-17;ORION - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;20000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.722.650/0001-34;VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;693223455.21;36264239.04;45256701.96;37091673.65;25342927.01;22159602.11;17953822.46;16456015.99;89350949.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.749.095/0001-34;CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;272619380.49;1475810.06;926782.08;997447.82;654402.52;512210.62;484496.17;243275.94;1889193.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.756.123/0001-40;BERGAMO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;110386292.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1129963.01;110386292.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1129963.01;31465574.72
26.756.137/0001-64;BASSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;256139485.52;0.00;0.00;8498860.37;0.00;4847923.55;4119.69;0.00;117707.54;256139485.52;0.00;0.00;8498860.37;0.00;4847923.55;4119.69;0.00;117707.54;106906535.38
26.758.072/0001-96;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA NOVERDE CRÉDITO PESSOAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.812.192/0001-24;AZUL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DIREITOS CREDITORIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.812.976/0001-52;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA IMOBILIÁRIO MULTI;2024-11-30;18489337.43;0.00;0.00;0.00;0.00;0.00;1593169.42;0.00;0.00;18489337.43;0.00;0.00;0.00;0.00;0.00;1593169.42;0.00;0.00;0.00
26.820.949/0001-21;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - FORNECEDORES CRB;2024-11-30;27775696.69;0.00;0.00;36471.48;0.00;0.00;0.00;0.00;0.00;27775696.69;0.00;0.00;36471.48;0.00;0.00;0.00;0.00;0.00;9759124.93
26.861.630/0001-44;WELLINGTON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;9801467.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9801467.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.913.775/0001-41;LESTE ARBITRAGEM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS;2024-11-30;9646615.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9646615.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.913.809/0001-06;PROA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;14160895.13;0.00;0.00;11938.28;0.00;0.00;10822.50;0.00;0.00;14160895.13;0.00;0.00;11938.28;0.00;0.00;10822.50;0.00;0.00;7381297.49
26.913.825/0001-90;PRIMEMAX FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO FINANCEIRO;2024-11-30;14692886.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14692886.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26.984.508/0001-65;OCEAN ASSET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;56166885.98;0.00;0.00;26012.78;0.00;0.00;368277.53;0.00;7306080.26;56166885.98;0.00;0.00;26012.78;0.00;0.00;368277.53;0.00;7306080.26;14629190.22
27.151.223/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VII - RESPONSABILIDADE LIMITAD;2024-11-30;39968515.16;0.00;5130779.67;1900660.58;1215242.05;816609.39;890927.04;758081.84;52539232.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
27.216.590/0001-40;STEP-UP IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
27.217.664/0001-63;JPI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;45810210.44;0.00;0.00;4990302.37;0.00;643993.09;100716.04;0.00;2071658.48;45810210.44;0.00;0.00;4990302.37;0.00;643993.09;100716.04;0.00;2071658.48;21751004.88
