CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
37.012.075/0001-00;FERRARA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;645065478.56;654425187.79
37.021.468/0001-72;PORTLAND CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;76272982.22;90495698.53
37.021.511/0001-08;MASONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;643525400.25;652880356.23
37.022.236/0001-39;ESPRESSO CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;438532707.94;427472259.12
37.035.910/0001-10;AG LIFE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;92168549.69;91251661.85
37.035.913/0001-53;RECARGAPAY FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS EMPRÉSTIMOS I;2024-11-30;140389787.80;134024125.81
37.035.970/0001-32;CD BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;183878709.14;181271029.66
37.036.039/0001-79;GREEN LIFE ESG FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS;2024-11-30;33459656.41;29008876.68
37.036.208/0001-70;UNIQUE PRIME FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;34459056.89;35269939.36
37.036.353/0001-51;REC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;25677152.85;24688748.33
37.036.410/0001-00;PRECATÓRIO OURO 35 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;146474061.32;140507665.46
